ID,Stock Code,Time,Opening Price,Highest Price,Lowest Price
1,600000,2009/11/2 9:30,21.32147302,21.74,21.74
1,600004,2009/11/2 9:30,9.222962876,9.17,9.17
1,600005,2009/11/2 9:30,7.63706691,7.26,7.26
1,600006,2009/11/2 9:30,5.562003109,5.58,5.58
1,600007,2009/11/2 9:30,10.84918319,10.89,10.89
1,600008,2009/11/2 9:30,5.912626207,6.28,6.28
1,600009,2009/11/2 9:30,13.73535354,14.17,14.17
1,600010,2009/11/2 9:30,4.208003223,4.01,4.01
1,600011,2009/11/2 9:30,7.920627523,7.72,7.72
1,600012,2009/11/2 9:30,4.940332401,5.38,5.38
1,600015,2009/11/2 9:30,11.14578139,11.04,11.04
1,600016,2009/11/2 9:30,7.943959092,7.68,7.68
1,600017,2009/11/2 9:30,6.451090612,6.21,6.21
1,600018,2009/11/2 9:30,4.819993851,5.21,5.21
1,600019,2009/11/2 9:30,6.405807542,6.84,6.84
1,600020,2009/11/2 9:30,3.973828701,3.84,3.84
1,600021,2009/11/2 9:30,5.719968336,5.3,5.3
1,600022,2009/11/2 9:30,4.484854892,4.81,4.81
1,600026,2009/11/2 9:30,13.09053336,13.19,13.19
1,600027,2009/11/2 9:30,5.042407989,5.16,5.16
1,600028,2009/11/2 9:30,11.86479752,11.59,11.59
1,600029,2009/11/2 9:30,5.280394154,5.21,5.21
1,600030,2009/11/2 9:30,27.17332456,27.03,27.03
1,600031,2009/11/2 9:30,36.47918631,36.01,36.01
1,600033,2009/11/2 9:30,6.147422957,5.9,5.9
1,600035,2009/11/2 9:30,5.31832451,4.9,4.9
1,600036,2009/11/2 9:30,17.72178447,17.77,17.77
1,600037,2009/11/2 9:30,12.70655524,12.53,12.53
1,600038,2009/11/2 9:30,15.22607823,15.45,15.45
1,600039,2009/11/2 9:30,7.558669929,7.38,7.38
1,600048,2009/11/2 9:30,26.25779003,25.81,25.81
1,600050,2009/11/2 9:30,6.064624599,6.32,6.32
1,600051,2009/11/2 9:30,10.65109114,10.79,10.79
1,600052,2009/11/2 9:30,8.768432059,8.64,8.64
1,600053,2009/11/2 9:30,7.86229601,7.79,7.79
1,600054,2009/11/2 9:30,14.73180803,14.35,14.35
1,600055,2009/11/2 9:30,8.302399419,8.64,8.64
1,600056,2009/11/2 9:30,21.95112946,22.2,22.2
1,600058,2009/11/2 9:30,18.39982716,18.58,18.58
1,600059,2009/11/2 9:30,8.655495698,8.31,8.31
1,600060,2009/11/2 9:30,17.70795733,17.3,17.3
1,600061,2009/11/2 9:30,9.501890415,9.87,9.87
1,600062,2009/11/2 9:30,21.97623847,21.95,21.95
1,600063,2009/11/2 9:30,10.87885285,10.61,10.61
1,600064,2009/11/2 9:30,22.76059067,22.38,22.38
1,600066,2009/11/2 9:30,18.80767727,18.97,18.97
1,600067,2009/11/2 9:30,14.01959718,14.33,14.33
1,600068,2009/11/2 9:30,12.5154507,12.88,12.88
1,600069,2009/11/2 9:30,8.782532207,8.89,8.89
1,600070,2009/11/2 9:30,8.181842843,8.44,8.44
1,600071,2009/11/2 9:30,7.082920442,6.74,6.74
1,600072,2009/11/2 9:30,16.75908589,17.03,17.03
1,600073,2009/11/2 9:30,8.479624812,8.96,8.96
1,600074,2009/11/2 9:30,4.003549955,4.29,4.29
1,600075,2009/11/2 9:30,7.545466318,7.54,7.54
1,600076,2009/11/2 9:30,6.903913894,7.37,7.37
1,600077,2009/11/2 9:30,8.727766512,8.56,8.56
1,600078,2009/11/2 9:30,7.680385071,7.44,7.44
1,600079,2009/11/2 9:30,10.60110491,10.83,10.83
1,600080,2009/11/2 9:30,4.332197299,4.5,4.5
1,600081,2009/11/2 9:30,6.954308123,6.64,6.64
1,600082,2009/11/2 9:30,7.896020396,7.62,7.62
1,600083,2009/11/2 9:30,7.10544116,7.19,7.19
1,600084,2009/11/2 9:30,7.845058536,7.69,7.69
1,600085,2009/11/2 9:30,19.05988091,19.14,19.14
1,600086,2009/11/2 9:30,9.181205617,8.84,8.84
1,600087,2009/11/2 9:30,6.372326363,6.74,6.74
1,600088,2009/11/2 9:30,15.62008998,16.01,16.01
1,600089,2009/11/2 9:30,21.43031376,21.39,21.39
1,600090,2009/11/2 9:30,7.19588511,7.63,7.63
1,600091,2009/11/2 9:30,6.055764646,6.3,6.3
1,600093,2009/11/2 9:30,6.645070814,6.3,6.3
1,600095,2009/11/2 9:30,5.711257176,5.77,5.77
1,600096,2009/11/2 9:30,23.21267551,23.16,23.16
1,600097,2009/11/2 9:30,17.77504083,17.69,17.69
1,600098,2009/11/2 9:30,6.50670605,6.69,6.69
1,600099,2009/11/2 9:30,7.461238267,7.4,7.4
1,600100,2009/11/2 9:30,14.25141934,14.71,14.71
1,600101,2009/11/2 9:30,7.48548097,7.32,7.32
1,600102,2009/11/2 9:30,11.98199082,11.55,11.55
1,600103,2009/11/2 9:30,3.967323561,3.71,3.71
1,600104,2009/11/2 9:30,22.78798817,23.22,23.22
1,600105,2009/11/2 9:30,9.390905511,8.99,8.99
1,600106,2009/11/2 9:30,7.828477341,8.24,8.24
1,600107,2009/11/2 9:30,13.36408484,13.17,13.17
1,600108,2009/11/2 9:30,5.419881311,4.92,4.92
1,600109,2009/11/2 9:30,21.85211653,21.99,21.99
1,600110,2009/11/2 9:30,6.956722886,6.74,6.74
1,600111,2009/11/2 9:30,29.95635591,29.79,29.79
1,600112,2009/11/2 9:30,12.85404351,12.37,12.37
1,600113,2009/11/2 9:30,7.756795982,8.1,8.1
1,600114,2009/11/2 9:30,5.687561752,6.05,6.05
1,600115,2009/11/2 9:30,5.804896803,5.48,5.48
1,600116,2009/11/2 9:30,7.749377621,7.94,7.94
1,600117,2009/11/2 9:30,9.662648207,10.08,10.08
1,600118,2009/11/2 9:30,19.25149644,19.3,19.3
1,600119,2009/11/2 9:30,9.1611398,9.07,9.07
1,600120,2009/11/2 9:30,6.765630483,6.49,6.49
1,600121,2009/11/2 9:30,10.83890421,11.23,11.23
1,600122,2009/11/2 9:30,14.87606031,14.79,14.79
1,600123,2009/11/2 9:30,38.3897014,38.88,38.88
1,600125,2009/11/2 9:30,7.678825157,7.65,7.65
1,600126,2009/11/2 9:30,6.16126027,5.8,5.8
1,600127,2009/11/2 9:30,6.90824403,7.14,7.14
1,600128,2009/11/2 9:30,14.51901573,14.81,14.81
1,600129,2009/11/2 9:30,9.680498061,9.45,9.45
1,600130,2009/11/2 9:30,4.230640711,3.94,3.94
1,600131,2009/11/2 9:30,5.147028072,5.61,5.61
1,600132,2009/11/2 9:30,24.16954808,24.5,24.5
1,600133,2009/11/2 9:30,6.778942411,7.14,7.14
1,600135,2009/11/2 9:30,6.733551629,7.14,7.14
1,600136,2009/11/2 9:30,10.95293412,10.9,10.9
1,600137,2009/11/2 9:30,17.57406507,17.99,17.99
1,600138,2009/11/2 9:30,11.91178468,12.17,12.17
1,600139,2009/11/2 9:30,26.18070518,26.2,26.2
1,600141,2009/11/2 9:30,17.55548027,17.43,17.43
1,600143,2009/11/2 9:30,9.239996232,9.65,9.65
1,600145,2009/11/2 9:30,6.125551054,6.28,6.28
1,600146,2009/11/2 9:30,17.20466149,16.95,16.95
1,600148,2009/11/2 9:30,11.72210067,11.47,11.47
1,600149,2009/11/2 9:30,5.538991083,5.69,5.69
1,600150,2009/11/2 9:30,72.31436814,72.58,72.58
1,600151,2009/11/2 9:30,10.50960396,10.78,10.78
1,600152,2009/11/2 9:30,5.037358282,5.28,5.28
1,600153,2009/11/2 9:30,11.88098252,12.38,12.38
1,600155,2009/11/2 9:30,4.421692219,4.31,4.31
1,600156,2009/11/2 9:30,5.471326804,5.21,5.21
1,600157,2009/11/2 9:30,11.86217935,11.87,11.87
1,600159,2009/11/2 9:30,18.55827586,18.24,18.24
1,600160,2009/11/2 9:30,7.5566199,8.05,8.05
1,600161,2009/11/2 9:30,30.95608802,30.79,30.79
1,600162,2009/11/2 9:30,8.879958215,8.4,8.4
1,600163,2009/11/2 9:30,4.693807223,4.6,4.6
1,600165,2009/11/2 9:30,6.75957515,6.53,6.53
1,600166,2009/11/2 9:30,18.5767758,18.51,18.51
1,600167,2009/11/2 9:30,9.897791522,10.01,10.01
1,600168,2009/11/2 9:30,6.303888506,6.5,6.5
1,600169,2009/11/2 9:30,16.14236187,16.32,16.32
1,600170,2009/11/2 9:30,15.40166357,14.91,14.91
1,600171,2009/11/2 9:30,6.329000249,6.68,6.68
1,600172,2009/11/2 9:30,7.174414197,7.53,7.53
1,600173,2009/11/2 9:30,10.41846822,10.75,10.75
1,600175,2009/11/2 9:30,8.430852612,8,8
1,600176,2009/11/2 9:30,15.45080417,15.59,15.59
1,600177,2009/11/2 9:30,13.81099642,13.57,13.57
1,600178,2009/11/2 9:30,13.50197128,13.23,13.23
1,600179,2009/11/2 9:30,6.289445153,6.09,6.09
1,600180,2009/11/2 9:30,7.83388723,7.47,7.47
1,600182,2009/11/2 9:30,7.756151757,7.41,7.41
1,600183,2009/11/2 9:30,9.08836861,9.09,9.09
1,600184,2009/11/2 9:30,23.12894229,23.06,23.06
1,600185,2009/11/2 9:30,10.10317689,10.45,10.45
1,600186,2009/11/2 9:30,3.777442157,3.86,3.86
1,600187,2009/11/2 9:30,6.996732038,7.46,7.46
1,600188,2009/11/2 9:30,19.3751632,19.13,19.13
1,600189,2009/11/2 9:30,8.5885964,8.28,8.28
1,600190,2009/11/2 9:30,5.139697443,5.44,5.44
1,600191,2009/11/2 9:30,7.479972828,7.84,7.84
1,600192,2009/11/2 9:30,9.137724971,9.62,9.62
1,600193,2009/11/2 9:30,11.30300581,11.36,11.36
1,600195,2009/11/2 9:30,20.94179471,21.25,21.25
1,600196,2009/11/2 9:30,18.84165675,18.54,18.54
1,600197,2009/11/2 9:30,9.039305705,9.14,9.14
1,600198,2009/11/2 9:30,11.32983627,11.39,11.39
1,600199,2009/11/2 9:30,10.57079861,10.62,10.62
1,600200,2009/11/2 9:30,4.769945627,4.32,4.32
1,600201,2009/11/2 9:30,8.998120292,9.38,9.38
1,600202,2009/11/2 9:30,16.43044559,16.03,16.03
1,600203,2009/11/2 9:30,6.117875989,5.98,5.98
1,600206,2009/11/2 9:30,9.584448074,9.46,9.46
1,600207,2009/11/2 9:30,4.932859183,4.57,4.57
1,600208,2009/11/2 9:30,11.97995967,11.49,11.49
1,600209,2009/11/2 9:30,4.772024854,5.14,5.14
1,600210,2009/11/2 9:30,7.367287576,7.86,7.86
1,600211,2009/11/2 9:30,11.80761513,11.92,11.92
1,600212,2009/11/2 9:30,4.943316982,4.85,4.85
1,600213,2009/11/2 9:30,7.082694933,7.34,7.34
1,600215,2009/11/2 9:30,6.632516861,7.03,7.03
1,600216,2009/11/2 9:30,33.20626652,33.42,33.42
1,600218,2009/11/2 9:30,8.177400986,8.27,8.27
1,600219,2009/11/2 9:30,10.04441915,10.44,10.44
1,600220,2009/11/2 9:30,4.69266751,5.16,5.16
1,600221,2009/11/2 9:30,5.510776851,5.49,5.49
1,600222,2009/11/2 9:30,9.085662328,9.37,9.37
1,600223,2009/11/2 9:30,11.30654621,11.19,11.19
1,600225,2009/11/2 9:30,9.514519854,9.11,9.11
1,600226,2009/11/2 9:30,10.32423333,10.22,10.22
1,600227,2009/11/2 9:30,10.40677414,10.71,10.71
1,600228,2009/11/2 9:30,8.044607192,8.38,8.38
1,600229,2009/11/2 9:30,6.558736597,6.12,6.12
1,600230,2009/11/2 9:30,17.86390254,18.3,18.3
1,600231,2009/11/2 9:30,9.935491649,9.94,9.94
1,600232,2009/11/2 9:30,5.615198405,5.12,5.12
1,600233,2009/11/2 9:30,17.96565725,18.23,18.23
1,600234,2009/11/2 9:30,5.551204567,5.39,5.39
1,600235,2009/11/2 9:30,6.584003967,6.88,6.88
1,600236,2009/11/2 9:30,8.170270175,7.71,7.71
1,600237,2009/11/2 9:30,6.640511037,6.7,6.7
1,600238,2009/11/2 9:30,14.05790744,14.31,14.31
1,600239,2009/11/2 9:30,24.80732518,25.15,25.15
1,600241,2009/11/2 9:30,11.16947315,11.5,11.5
1,600242,2009/11/2 9:30,7.222244118,7.01,7.01
1,600243,2009/11/2 9:30,7.465000895,7.07,7.07
1,600246,2009/11/2 9:30,10.09565404,10.24,10.24
1,600247,2009/11/2 9:30,6.607213589,6.59,6.59
1,600248,2009/11/2 9:30,10.90756195,10.79,10.79
1,600249,2009/11/2 9:30,8.564027979,8.64,8.64
1,600250,2009/11/2 9:30,7.01974535,6.55,6.55
1,600251,2009/11/2 9:30,23.82083572,23.4,23.4
1,600252,2009/11/2 9:30,19.22404201,19.47,19.47
1,600253,2009/11/2 9:30,6.399874625,6.11,6.11
1,600255,2009/11/2 9:30,6.607303333,6.73,6.73
1,600256,2009/11/2 9:30,18.24323191,18.24,18.24
1,600257,2009/11/2 9:30,5.300418197,4.98,4.98
1,600258,2009/11/2 9:30,16.91710854,16.5,16.5
1,600259,2009/11/2 9:30,15.82777409,15.44,15.44
1,600260,2009/11/2 9:30,6.600657116,6.94,6.94
1,600261,2009/11/2 9:30,13.3105735,13.58,13.58
1,600262,2009/11/2 9:30,11.84437815,12.18,12.18
1,600265,2009/11/2 9:30,9.172378229,8.75,8.75
1,600266,2009/11/2 9:30,17.61372679,17.6,17.6
1,600268,2009/11/2 9:30,16.16218628,15.87,15.87
1,600269,2009/11/2 9:30,6.742278412,7.02,7.02
1,600270,2009/11/2 9:30,8.566760207,8.8,8.8
1,600271,2009/11/2 9:30,17.33624234,17.23,17.23
1,600272,2009/11/2 9:30,7.826010014,8.23,8.23
1,600273,2009/11/2 9:30,7.413979333,7.24,7.24
1,600275,2009/11/2 9:30,6.381215811,6.19,6.19
1,600276,2009/11/2 9:30,43.15909492,43.08,43.08
1,600277,2009/11/2 9:30,14.20520493,14.16,14.16
1,600278,2009/11/2 9:30,11.45936736,11.22,11.22
1,600279,2009/11/2 9:30,9.18343996,8.89,8.89
1,600280,2009/11/2 9:30,19.7067428,20.01,20.01
1,600281,2009/11/2 9:30,7.390391671,7.31,7.31
1,600282,2009/11/2 9:30,5.442064056,5.1,5.1
1,600283,2009/11/2 9:30,10.97474988,11.06,11.06
1,600284,2009/11/2 9:30,12.77838044,12.85,12.85
1,600285,2009/11/2 9:30,9.619424497,9.96,9.96
1,600287,2009/11/2 9:30,7.709545979,7.57,7.57
1,600288,2009/11/2 9:30,6.045443008,5.98,5.98
1,600289,2009/11/2 9:30,13.19157516,12.81,12.81
1,600290,2009/11/2 9:30,14.65397849,14.19,14.19
1,600291,2009/11/2 9:30,13.25535938,12.85,12.85
1,600292,2009/11/2 9:30,8.005781217,8.19,8.19
1,600293,2009/11/2 9:30,9.066945026,8.69,8.69
1,600295,2009/11/2 9:30,12.31349989,12.5,12.5
1,600297,2009/11/2 9:30,7.467175193,7.92,7.92
1,600298,2009/11/2 9:30,26.08132841,25.68,25.68
1,600299,2009/11/2 9:30,12.79360444,12.58,12.58
1,600300,2009/11/2 9:30,7.902046913,7.44,7.44
1,600301,2009/11/2 9:30,8.504542253,8.26,8.26
1,600302,2009/11/2 9:30,6.14279079,6.64,6.64
1,600303,2009/11/2 9:30,10.8378213,10.49,10.49
1,600305,2009/11/2 9:30,10.59790232,10.77,10.77
1,600306,2009/11/2 9:30,9.269907539,9.66,9.66
1,600307,2009/11/2 9:30,13.53992173,13.42,13.42
1,600308,2009/11/2 9:30,12.8963144,12.52,12.52
1,600309,2009/11/2 9:30,20.07136989,19.83,19.83
1,600310,2009/11/2 9:30,20.878778,20.87,20.87
1,600311,2009/11/2 9:30,12.35879652,12.05,12.05
1,600312,2009/11/2 9:30,16.8193402,16.95,16.95
1,600315,2009/11/2 9:30,27.5679733,27.12,27.12
1,600316,2009/11/2 9:30,26.71923046,26.95,26.95
1,600317,2009/11/2 9:30,7.72806993,7.36,7.36
1,600318,2009/11/2 9:30,7.897509027,8.27,8.27
1,600319,2009/11/2 9:30,6.193483365,5.85,5.85
1,600320,2009/11/2 9:30,10.60502299,10.21,10.21
1,600321,2009/11/2 9:30,8.43829435,8.32,8.32
1,600322,2009/11/2 9:30,6.900598747,6.5,6.5
1,600323,2009/11/2 9:30,9.82507371,10.08,10.08
1,600325,2009/11/2 9:30,18.49546041,18.69,18.69
1,600326,2009/11/2 9:30,10.57621462,10.89,10.89
1,600327,2009/11/2 9:30,12.39941135,12.19,12.19
1,600328,2009/11/2 9:30,8.612585181,8.54,8.54
1,600329,2009/11/2 9:30,23.23094185,23.54,23.54
1,600330,2009/11/2 9:30,5.47941887,5.69,5.69
1,600331,2009/11/2 9:30,18.66452093,18.25,18.25
1,600332,2009/11/2 9:30,8.460827134,8.38,8.38
1,600333,2009/11/2 9:30,7.068301403,7.16,7.16
1,600335,2009/11/2 9:30,6.484359652,6.23,6.23
1,600336,2009/11/2 9:30,6.599012277,6.39,6.39
1,600337,2009/11/2 9:30,7.099544945,6.78,6.78
1,600338,2009/11/2 9:30,11.68472895,11.9,11.9
1,600339,2009/11/2 9:30,7.749273221,7.95,7.95
1,600340,2009/11/2 9:30,12.095622,11.8,11.8
1,600343,2009/11/2 9:30,13.01127228,13.46,13.46
1,600345,2009/11/2 9:30,9.524131925,9.92,9.92
1,600346,2009/11/2 9:30,6.799549843,6.98,6.98
1,600348,2009/11/2 9:30,41.55651363,41.42,41.42
1,600350,2009/11/2 9:30,4.946785166,4.86,4.86
1,600351,2009/11/2 9:30,14.19620513,13.98,13.98
1,600352,2009/11/2 9:30,9.376257699,9.72,9.72
1,600353,2009/11/2 9:30,9.767038573,10.07,10.07
1,600354,2009/11/2 9:30,15.31224738,15.36,15.36
1,600355,2009/11/2 9:30,6.974393366,7.14,7.14
1,600356,2009/11/2 9:30,10.11729644,10.3,10.3
1,600358,2009/11/2 9:30,5.475244037,5.08,5.08
1,600359,2009/11/2 9:30,15.37461163,15.76,15.76
1,600360,2009/11/2 9:30,5.891094557,5.82,5.82
1,600361,2009/11/2 9:30,8.353361938,8.27,8.27
1,600362,2009/11/2 9:30,38.21837419,38.33,38.33
1,600363,2009/11/2 9:30,8.627593194,8.62,8.62
1,600365,2009/11/2 9:30,9.206043522,9.26,9.26
1,600366,2009/11/2 9:30,10.99394656,11.39,11.39
1,600367,2009/11/2 9:30,8.772762281,8.69,8.69
1,600368,2009/11/2 9:30,5.918418284,6.4,6.4
1,600369,2009/11/2 9:30,16.15196941,15.67,15.67
1,600370,2009/11/2 9:30,5.684499894,5.8,5.8
1,600371,2009/11/2 9:30,10.83799876,10.99,10.99
1,600373,2009/11/2 9:30,9.565386468,9.75,9.75
1,600376,2009/11/2 9:30,21.68920946,21.78,21.78
1,600377,2009/11/2 9:30,6.056271244,6.18,6.18
1,600378,2009/11/2 9:30,10.63817334,10.5,10.5
1,600379,2009/11/2 9:30,11.43578159,11.56,11.56
1,600380,2009/11/2 9:30,9.556478394,9.44,9.44
1,600381,2009/11/2 9:30,8.000003705,7.94,7.94
1,600382,2009/11/2 9:30,7.841601624,8.04,8.04
1,600383,2009/11/2 9:30,15.66385372,15.2,15.2
1,600385,2009/11/2 9:30,4.829008802,4.62,4.62
1,600386,2009/11/2 9:30,13.28588927,13.23,13.23
1,600387,2009/11/2 9:30,12.88579236,13.19,13.19
1,600388,2009/11/2 9:30,26.08201957,26.32,26.32
1,600389,2009/11/2 9:30,13.84079513,13.83,13.83
1,600390,2009/11/2 9:30,13.74897261,14.13,14.13
1,600391,2009/11/2 9:30,21.29366447,21.22,21.22
1,600392,2009/11/2 9:30,21.76836357,21.63,21.63
1,600393,2009/11/2 9:30,8.347329183,7.85,7.85
1,600395,2009/11/2 9:30,27.90361571,27.99,27.99
1,600396,2009/11/2 9:30,7.966566162,7.87,7.87
1,600397,2009/11/2 9:30,10.73709643,11.2,11.2
1,600398,2009/11/2 9:30,4.613909568,4.88,4.88
1,600399,2009/11/2 9:30,7.749201659,7.38,7.38
1,600400,2009/11/2 9:30,5.531147478,5.62,5.62
1,600403,2009/11/2 9:30,9.799991599,9.51,9.51
1,600405,2009/11/2 9:30,6.966963299,7.36,7.36
1,600406,2009/11/2 9:30,38.38425347,38.76,38.76
1,600408,2009/11/2 9:30,8.251676622,8.37,8.37
1,600409,2009/11/2 9:30,6.433427514,6.4,6.4
1,600410,2009/11/2 9:30,11.567808,11.41,11.41
1,600415,2009/11/2 9:30,39.7807859,39.37,39.37
1,600416,2009/11/2 9:30,20.39330546,20.38,20.38
1,600418,2009/11/2 9:30,10.61849285,10.84,10.84
1,600419,2009/11/2 9:30,9.462128042,9.38,9.38
1,600420,2009/11/2 9:30,12.53259451,12.8,12.8
1,600421,2009/11/2 9:30,8.105091328,8.41,8.41
1,600423,2009/11/2 9:30,9.4135382,9.67,9.67
1,600425,2009/11/2 9:30,11.22323838,11.12,11.12
1,600426,2009/11/2 9:30,19.61446607,19.18,19.18
1,600428,2009/11/2 9:30,11.01938499,10.55,10.55
1,600429,2009/11/2 9:30,7.393586083,7.04,7.04
1,600432,2009/11/2 9:30,30.28831986,30.67,30.67
1,600433,2009/11/2 9:30,7.287800863,7.17,7.17
1,600435,2009/11/2 9:30,20.62966985,20.14,20.14
1,600436,2009/11/2 9:30,39.14294446,38.7,38.7
1,600438,2009/11/2 9:30,7.9232712,8.41,8.41
1,600439,2009/11/2 9:30,10.75619619,11,11
1,600444,2009/11/2 9:30,14.03701786,13.87,13.87
1,600446,2009/11/2 9:30,10.63329665,10.16,10.16
1,600448,2009/11/2 9:30,5.010571924,4.72,4.72
1,600449,2009/11/2 9:30,28.08233776,27.91,27.91
1,600452,2009/11/2 9:30,8.338688741,8.19,8.19
1,600455,2009/11/2 9:30,12.48060069,12.75,12.75
1,600456,2009/11/2 9:30,21.05993157,21.12,21.12
1,600458,2009/11/2 9:30,14.76579026,15.21,15.21
1,600459,2009/11/2 9:30,26.0904987,25.93,25.93
1,600460,2009/11/2 9:30,8.154918954,7.81,7.81
1,600461,2009/11/2 9:30,10.37732105,10.2,10.2
1,600462,2009/11/2 9:30,6.285467288,5.92,5.92
1,600463,2009/11/2 9:30,7.659943635,7.72,7.72
1,600466,2009/11/2 9:30,10.82484786,11.15,11.15
1,600467,2009/11/2 9:30,8.06646189,7.99,7.99
1,600469,2009/11/2 9:30,15.88391686,16,16
1,600470,2009/11/2 9:30,10.90427449,10.89,10.89
1,600475,2009/11/2 9:30,17.92334504,17.98,17.98
1,600476,2009/11/2 9:30,10.68633503,10.49,10.49
1,600477,2009/11/2 9:30,7.173956725,6.87,6.87
1,600478,2009/11/2 9:30,16.64915003,17.05,17.05
1,600479,2009/11/2 9:30,24.78331901,25.2,25.2
1,600480,2009/11/2 9:30,10.56126428,10.94,10.94
1,600481,2009/11/2 9:30,19.99462487,19.84,19.84
1,600482,2009/11/2 9:30,12.57070466,12.19,12.19
1,600483,2009/11/2 9:30,5.623691711,5.4,5.4
1,600485,2009/11/2 9:30,15.48116812,15.24,15.24
1,600486,2009/11/2 9:30,33.17361473,33.29,33.29
1,600487,2009/11/2 9:30,24.6843883,25.16,25.16
1,600488,2009/11/2 9:30,7.273768371,7.7,7.7
1,600489,2009/11/2 9:30,56.19760062,56.28,56.28
1,600490,2009/11/2 9:30,9.675247175,9.98,9.98
1,600491,2009/11/2 9:30,17.39904457,17.2,17.2
1,600493,2009/11/2 9:30,6.591302821,6.9,6.9
1,600495,2009/11/2 9:30,17.25459014,17.15,17.15
1,600496,2009/11/2 9:30,9.979813486,9.79,9.79
1,600497,2009/11/2 9:30,27.73686588,28.15,28.15
1,600498,2009/11/2 9:30,21.45372332,21.53,21.53
1,600499,2009/11/2 9:30,15.8794605,15.55,15.55
1,600500,2009/11/2 9:30,10.40321411,10.78,10.78
1,600501,2009/11/2 9:30,9.465126393,9.55,9.55
1,600502,2009/11/2 9:30,12.52652508,12.2,12.2
